Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
1654,5079,347,4836,366
1655,4683,526,4764,531
1656,5167,452,6331,511
1657,4458,441,4687,336
1658.01,6570,561,5691,411
1658.02,4066,244,4326,319
1659,7742,637,8136,437
1660.01,6619,481,6576,332
1660.02,7516,1184,7332,340
1671,7971,390,8118,370
1672.01,4222,253,3975,311
1672.02,4489,273,4478,268
1673,7355,405,7306,304
1701,2094,272,1513,266
1702,2168,295,1748,317
1703,2406,303,1643,237
1704,1485,215,1602,231
1705,5685,296,7068,528
1706,2640,323,2726,268
1707,2651,274,2419,289
1708,5707,422,6300,540
1709,1999,387,1605,274
1710,1849,263,1293,213
1711,4972,442,6619,755
1712,8385,445,8601,507
1713,3805,318,3781,323
1714,2181,276,1506,232
1715,3243,435,2523,455
1716,5380,388,4800,495
1717,4024,320,4494,367
1751,3287,328,3093,269
1752,2630,307,2530,207
1753,4205,186,4213,366
1754,4535,428,4063,407
1755,7996,378,7692,551
1756,5095,377,4985,301
1757,2338,161,2867,177
1758,3868,271,4141,343
1759,4889,238,5136,400
1760,6204,377,6271,504
1801,6889,536,6152,595
1802,5253,528,6158,512
1803,2555,306,2310,264
1804,2986,284,2839,221
1805,4758,327,4646,373
1806.01,2922,236,2844,376
1806.02,3825,300,4057,291
1841,5436,444,5070,393
1842,4022,230,4344,384
1843,4379,255,4282,392
1844,3280,185,3312,249
1845,2319,127,2587,205
1846,2835,177,2895,229
1847,5791,299,5659,537
1861,7180,204,7294,388
1862,7189,203,6981,386
1901,3257,291,3230,208
1902,3291,210,3714,232
1903.01,6652,237,6972,349
1903.02,5591,314,5125,337
1903.03,3562,226,3336,156
1941,5480,337,5257,374
1942.01,7626,275,7537,359
1942.02,5158,301,5453,318
3411,6015,22,6108,18
3431.01,5948,273,6087,334
3431.02,3678,202,3793,211
3432,6553,380,6131,359
3433,6268,421,6845,367
3434,6806,386,6418,491
3441,4776,216,5036,145
3442,2746,215,2622,145
3451,6616,543,6948,514
3452.01,6725,424,7248,534
3452.02,4250,381,4204,274
3453,6554,491,6626,510
3454,7650,505,6623,608
3461.01,6723,222,6893,257
3461.02,5879,217,6079,256
3471,5399,194,5866,212
3472,4051,193,3882,213
3481.11,2986,481,2747,264
3481.22,4570,298,4095,257
3481.23,5538,383,5875,320
3481.24,2343,270,2504,173
3481.25,4404,307,4454,337
3501,3883,478,3797,434
3502,2957,474,3459,457
3503,2145,361,1886,305
3504,2582,426,2508,307
3505,2762,411,2439,331
3508,5482,743,6087,773
3509,2399,456,2138,198
3510,4328,516,3850,409
3511,4122,333,3894,391
3512,3658,446,4449,501
3513,5931,538,5677,530
3514,3741,478,4461,447
3515,5366,395,5325,544
3516.01,3551,303,3190,400
3516.02,6211,519,6137,607
3517,3211,406,2969,426
3518,3908,423,3565,450
3519,2450,226,2446,288
3520,5341,364,4870,498
3521,3978,322,4286,361
3522,2502,286,2742,333
3523,3090,391,3050,388
3524,3151,326,3585,533
3525,2875,261,2803,338
3526,4884,423,5085,693
3527.01,3300,347,2722,302
3527.02,5827,677,5744,724
3528,6439,644,6086,587
3611,6611,280,6755,305
3612,5226,243,5296,299
3613,4801,293,4645,251
3614.01,4719,670,3889,437
3614.02,2966,658,2787,272
3615,7077,751,7613,550
9900,0,12,0,12
6501,2359,114,2423,99
6601.01,3264,239,3277,192
6601.02,4336,241,4217,197
6903,6650,542,6323,560
6904,2191,393,2205,303
6905,2879,378,2496,297
6907,990,202,1201,211
6908,3127,370,3362,342
6909,5050,338,5129,500
6933,5524,226,5331,489
6934,3894,188,4238,296
6935,3541,159,3458,215
6936,3069,216,2962,222
6937,3471,229,3211,230
6952.01,5588,418,4984,435
6952.02,6149,365,6165,504
6961,4780,646,4665,464
6962,4949,281,4727,404
6963,2942,191,2730,350
6964,5286,625,6037,506
6965,3346,335,2892,334
6966,3914,264,3815,339
6967,6060,603,5989,576
6968,4247,623,3667,414
6970,4798,497,5353,551
7001,4736,19,4693,21
7011,7809,275,8038,329
7012,7189,265,6870,328
7021,4488,255,4330,288
7023,2227,219,2317,246
7024,3751,287,3625,265
7025,4743,256,4504,276
7026,1240,120,1055,111
7027,4583,398,5088,408
7028,4069,341,4374,352
7029,2720,236,2289,153
7030,3604,351,3516,228
7051.01,4597,298,4276,303
7051.02,4242,327,4352,365
7052,3407,241,3532,238
7053,3564,265,3698,258
7054,2718,188,2625,184
7071,5292,24,5255,19
7081,2599,22,2570,18
7091,6414,324,6439,406
7092,5493,327,5352,406
7101,4333,19,4300,16
7111,2982,23,2942,19
7121,1984,122,1908,97
7131,2605,45,2587,20
7141.01,3427,259,3223,233
7141.03,7482,339,7828,295
7141.04,5135,268,4964,251
7151,4151,19,4162,50
7161.01,6285,299,5739,233
7161.02,5097,225,5513,275
8701,7289,32,7242,17
8702,5906,382,5531,442
8703,6726,554,6431,466
8705.01,3923,425,4345,347
8705.02,3927,277,3890,291
8707.01,2073,195,2135,137
8707.03,1616,158,1730,151
8707.04,4097,251,3766,328
9800,2796,259,2881,236
9901,0,12,0,12
5261.01,4632,233,4534,205
5261.02,5017,229,5016,207
5281,3185,144,3179,133
5291,4990,21,4947,26
5301,2156,171,2244,322
5302,6518,502,6019,509
5303.01,5867,359,5412,380
5303.02,5793,367,6171,362
5304,3148,250,3556,169
5305,2891,209,3161,213
5306,2815,194,2619,185
5331.01,9058,213,9460,313
5331.02,5922,212,5378,312
5351,8447,292,9382,401
5352,7102,290,6566,406
5381,970,185,1998,158
5382.01,6410,227,5053,225
5382.02,4071,219,4233,227
8401,6042,19,5916,45
8501,5357,251,5394,288
8502,7088,255,7064,287
8601,5464,25,5442,23
8811,4586,428,4167,483
8812,9337,971,11152,842
8813,5899,574,4828,453
8815,6360,557,5872,498
8901,4015,332,4019,249
8902.01,3871,358,3722,240
8902.02,5126,347,5092,236
8003,6288,665,6866,528
8004,3953,397,3823,376
8005,7197,534,6657,509
8006,4184,519,4085,446
8007,3556,363,3408,396
8150,2412,174,2365,149
8200,1799,143,1829,114
8250,1725,126,1691,142
8301,4306,19,4254,25
